Reference,Qty,Value,Manufacture Part Number,x2,acc qty,acc qty x2,Exclude from BOM,Exclude from Board
"C1,C17",2,10uF,CL31B106KAHNNNE,4,10,,,
"C2,C7,C8,C9,C11,C14,C15,C18",8,0.1uF,C1206C104K5RACTU,16,18,,,
"C3,C4,C19,C20",4,22uF,CL32A226KAJNNNE,8,10,,,
"C5,C13",2,10nF,C1206C103K5RACTU,4,10,,,
"C6,C16",2,180uF,A768KE187M1ELAE029,4,10,,,
"C10,C12",2,1uF,CL31B105KBHNNNE,4,10,,,
F1,1,5A,0685T4000-01,2,5,4,,
"H1,H2,H3,H4",4,MountingHole,,8,,,Excluded from BOM,
"IC1,IC3",2,DRV8251ADDAR,DRV8251ADDAR,4,,,,
"IC2,IC4",2,AP63205WU-7,AP63205WU-7,4,,,,
"J1,J2,J3",3,6.91138E+11,,6,0,,Excluded from BOM,
J2A1,2,SSW-119-01-T-D,,4,4,,,
J4,1,Conn_01x06,,2,0,,,
"L1,L2",2,4.7uH,IFSC2020DEER4R7M01,4,6,6,,
"R1,R3",2,0Ω,RC1206JR-070RL,4,10,10,,
"R2,R7",2,750Ω,RC1206FR-07750RL,4,10,10,,
"TP1,TP2",2,5019,,4,0,,Excluded from BOM,
,,,,,total,,,
,,,,,30.55,,,
COMMENTS,,,,,,,,
4A fuse may be too little for new bat therefore 5A is the new choice imo,,,,,,,,
should we get the SSW-119-01-T-D?,,,,,,,,
Do we need a 3v3 buck?,,,,,,,,
