Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12",1206,2,1uF,
"C11, C14, C15, C18, C7, C8, C9",1206,7,0.1uF,
"C13, C5",1206,2,10nF,
"C16, C6",A768KE187M1ELAE029,2,180uF,
C17,1206,1,10uF,
"C19, C20",1210,2,22uF,
F1,1206,1,4A,
"IC1, IC3",SOIC-8-DDA-DRV8231_TEX,2,DRV8251ADDAR,
IC4,TSOT-23-6_HandSoldering,1,AP63205WU-7,
J2A1,STM_Nucleo_Morpho_x2_Footprint,1,SSW-119-01-T-D,
J4,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
L2,L_Wuerth_XHMI-6060,1,4.7uH,
"R1, R3, R4, R5",1206,4,0Ω,
"R2, R7",1206,2,750Ω,
