Designator,Mid X,Mid Y,Rotation,Layer
C10,126.3625,-69.2,0.0,top
C11,126.2,-56.25,0.0,top
C12,126.2,-58.95,180.0,top
C13,130.95,-116.298636,0.0,top
C14,130.95,-113.398636,0.0,top
C15,119.75,-108.398636,90.0,top
C16,122.1,-106.2,0.0,top
C17,157.0,-109.1775,90.0,top
C18,153.1875,-104.5875,180.0,top
C19,150.0,-109.2,270.0,top
C20,146.3,-109.2,270.0,top
C5,170.9125,-106.395,180.0,top
C6,180.4,-115.795,180.0,top
C7,170.95,-109.296364,180.0,top
C8,183.05,-113.896364,270.0,top
C9,126.425,-66.4,0.0,top
F1,161.25,-118.2875,0.0,top
IC1,124.15,-114.598636,90.0,top
IC3,177.77415,-107.595,270.0,top
IC4,153.7,-109.0775,270.0,top
J1,161.2,-124.4875,0.0,top
J2,189.0,-109.7,270.0,top
J2A1,150.4,-74.05,0.0,top
J3,113.2,-109.85,90.0,top
J4,145.13,-120.3,270.0,top
J5,151.02,-45.0,90.0,top
L2,146.65,-102.2375,90.0,top
R1,123.95,-119.098636,0.0,top
R2,130.95,-119.098636,0.0,top
R3,177.8,-103.0,180.0,top
R4,125.9,-84.3,0.0,top
R5,125.9,-87.0,0.0,top
R7,170.9,-103.495,180.0,top
